发生日期,单位净值,累计净值,净值增长率
2022-05-19,0.9897,3.1089,0.19
2022-05-18,0.9878,3.1070,-0.32
2022-05-17,0.9910,3.1102,1.18
2022-05-16,0.9794,3.0986,-0.76
2022-05-13,0.9869,3.1061,0.71
2022-05-12,0.9799,3.0991,-0.43
2022-05-11,0.9841,3.1033,1.37
2022-05-10,0.9708,3.0900,1.05
2022-05-09,0.9607,3.0799,-0.77
2022-05-06,0.9682,3.0874,-2.40
2022-05-05,0.9920,3.1112,-0.14
2022-04-29,0.9934,3.1126,2.34
2022-04-28,0.9707,3.0899,0.62
2022-04-27,0.9647,3.0839,2.78
2022-04-26,0.9386,3.0578,-0.77
2022-04-25,0.9459,3.0651,-4.70
2022-04-22,0.9925,3.1117,0.41
2022-04-21,0.9884,3.1076,-1.75
2022-04-20,1.0060,3.1252,-1.47
2022-04-19,1.0210,3.1402,-0.72
2022-04-18,1.0284,3.1476,-0.50
2022-04-15,1.0336,3.1528,-0.08
2022-04-14,1.0344,3.1536,1.18
2022-04-13,1.0223,3.1415,-0.89
2022-04-12,1.0315,3.1507,1.83
2022-04-11,1.0130,3.1322,-2.92
2022-04-08,1.0435,3.1627,0.50
2022-04-07,1.0383,3.1575,-1.21
2022-04-06,1.0510,3.1702,-0.28
2022-04-01,1.0540,3.1732,1.20
2022-03-31,1.0415,3.1607,-0.71
2022-03-30,1.0489,3.1681,2.75
2022-03-29,1.0208,3.1400,-0.32
2022-03-28,1.0241,3.1433,-0.60
2022-03-25,1.0303,3.1495,-1.72
2022-03-24,1.0483,3.1675,-0.56
2022-03-23,1.0542,3.1734,0.49
2022-03-22,1.0491,3.1683,-0.08
2022-03-21,1.0499,3.1691,-0.17
2022-03-18,1.0517,3.1709,0.64
2022-03-17,1.0450,3.1642,1.85
2022-03-16,1.0260,3.1452,4.09
2022-03-15,0.9857,3.1049,-4.34
2022-03-14,1.0304,3.1496,-2.90
2022-03-11,1.0612,3.1804,0.30
2022-03-10,1.0580,3.1772,1.50
2022-03-09,1.0424,3.1616,-0.88
2022-03-08,1.0517,3.1709,-1.90
2022-03-07,1.0721,3.1913,-3.03
2022-03-04,1.1056,3.2248,-1.15
2022-03-03,1.1185,3.2377,-0.56
2022-03-02,1.1248,3.2440,-0.85
2022-03-01,1.1344,3.2536,0.79
2022-02-28,1.1255,3.2447,0.16
2022-02-25,1.1237,3.2429,0.93
2022-02-24,1.1134,3.2326,-1.93
2022-02-23,1.1353,3.2545,1.01
2022-02-22,1.1239,3.2431,-1.23
2022-02-21,1.1379,3.2571,-0.35
2022-02-18,1.1419,3.2611,0.45
2022-02-17,1.1368,3.2560,0.24
2022-02-16,1.1341,3.2533,0.37
2022-02-15,1.1299,3.2491,1.00
2022-02-14,1.1187,3.2379,-1.03
2022-02-11,1.1303,3.2495,-0.79
2022-02-10,1.1393,3.2585,-0.25
2022-02-09,1.1422,3.2614,0.89
2022-02-08,1.1321,3.2513,-0.52
2022-02-07,1.1380,3.2572,1.44
2022-01-28,1.1218,3.2410,-1.15
2022-01-27,1.1349,3.2541,-1.86
2022-01-26,1.1564,3.2756,0.68
2022-01-25,1.1486,3.2678,-2.14
2022-01-24,1.1737,3.2929,0.15
2022-01-21,1.1720,3.2912,-0.87
2022-01-20,1.1823,3.3015,0.85
2022-01-19,1.1723,3.2915,-0.65
2022-01-18,1.1800,3.2992,0.92
2022-01-17,1.1693,3.2885,0.80
2022-01-14,1.1600,3.2792,-0.77
2022-01-13,1.1690,3.2882,-1.57
2022-01-12,1.1876,3.3068,0.94
2022-01-11,1.1765,3.2957,-0.91
2022-01-10,1.1873,3.3065,0.42
2022-01-07,1.1823,3.3015,0.08
2022-01-06,1.1814,3.3006,-0.97
2022-01-05,1.1930,3.3122,-0.95
2022-01-04,1.2045,3.3237,-0.44
2021-12-31,1.2098,3.3290,0.36
2021-12-30,1.2055,3.3247,0.74
2021-12-29,1.1967,3.3159,-1.38
2021-12-28,1.2135,3.3327,0.71
2021-12-27,1.2050,3.3242,-0.04
2021-12-24,1.2055,3.3247,-0.53
2021-12-23,1.2119,3.3311,0.66
2021-12-22,1.2040,3.3232,0.02
2021-12-21,1.2038,3.3230,0.65
2021-12-20,1.1960,3.3152,-1.43
2021-12-17,1.2133,3.3325,-1.51
2021-12-16,1.2319,3.3511,0.54
2021-12-15,1.2253,3.3445,-0.83
2021-12-14,1.2355,3.3547,-0.64
2021-12-13,1.2435,3.3627,0.53
2021-12-10,1.2369,3.3561,-0.33
2021-12-09,1.2410,3.3602,1.53
2021-12-08,1.2223,3.3415,1.42
2021-12-07,1.2052,3.3244,0.56
2021-12-06,1.1985,3.3177,-0.17
2021-12-03,1.2005,3.3197,0.87
2021-12-02,1.1901,3.3093,0.24
2021-12-01,1.1873,3.3065,0.23
2021-11-30,1.1846,3.3038,-0.38
2021-11-29,1.1891,3.3083,-0.17
2021-11-26,1.1911,3.3103,-0.71
2021-11-25,1.1996,3.3188,-0.39
2021-11-24,1.2043,3.3235,0.07
2021-11-23,1.2035,3.3227,0.01
2021-11-22,1.2034,3.3226,0.43
2021-11-19,1.1983,3.3175,1.04
2021-11-18,1.1860,3.3052,-0.94
2021-11-17,1.1973,3.3165,0.06
2021-11-16,1.1966,3.3158,0.01
2021-11-15,1.1965,3.3157,-0.12
2021-11-12,1.1979,3.3171,-0.19
2021-11-11,1.2002,3.3194,1.52
2021-11-10,1.1822,3.3014,-0.50
2021-11-09,1.1881,3.3073,-0.03
2021-11-08,1.1885,3.3077,0.11
2021-11-05,1.1872,3.3064,-0.51
2021-11-04,1.1933,3.3125,0.94
2021-11-03,1.1822,3.3014,-0.37
2021-11-02,1.1866,3.3058,-0.98
2021-11-01,1.1984,3.3176,-0.35
2021-10-29,1.2026,3.3218,0.86
2021-10-28,1.1923,3.3115,-0.66
2021-10-27,1.2002,3.3194,-1.24
2021-10-26,1.2153,3.3345,-0.32
2021-10-25,1.2192,3.3384,0.42
2021-10-22,1.2141,3.3333,0.63
2021-10-21,1.2065,3.3257,0.34
2021-10-20,1.2024,3.3216,-0.24
2021-10-19,1.2053,3.3245,0.93
2021-10-18,1.1942,3.3134,-1.11
2021-10-15,1.2076,3.3268,0.37
2021-10-14,1.2031,3.3223,-0.50
2021-10-13,1.2092,3.3284,1.10
2021-10-12,1.1961,3.3153,-1.02
2021-10-11,1.2084,3.3276,0.12
2021-10-08,1.2070,3.3262,1.23
2021-09-30,1.1923,3.3115,0.63
2021-09-29,1.1848,3.3040,-0.96
2021-09-28,1.1963,3.3155,0.13
2021-09-27,1.1948,3.3140,0.54
2021-09-24,1.1884,3.3076,-0.07
2021-09-23,1.1892,3.3084,0.61
2021-09-22,1.1820,3.3012,-0.66
2021-09-17,1.1899,3.3091,0.96
2021-09-16,1.1786,3.2978,-1.16
2021-09-15,1.1924,3.3116,-0.96
2021-09-14,1.2040,3.3232,-1.41
2021-09-13,1.2212,3.3404,-0.42
2021-09-10,1.2264,3.3456,0.84
2021-09-09,1.2162,3.3354,-0.04
2021-09-08,1.2167,3.3359,-0.40
2021-09-07,1.2216,3.3408,1.14
2021-09-06,1.2078,3.3270,1.78
2021-09-03,1.1867,3.3059,-0.52
2021-09-02,1.1929,3.3121,0.00
2021-09-01,1.1929,3.3121,1.27
2021-08-31,1.1779,3.2971,-0.15
2021-08-30,1.1797,3.2989,-0.28
2021-08-27,1.1830,3.3022,0.50
2021-08-26,1.1771,3.2963,-1.87
2021-08-25,1.1995,3.3187,0.23
2021-08-24,1.1967,3.3159,1.03
2021-08-23,1.1845,3.3037,1.40
2021-08-20,1.1681,3.2873,-1.77
2021-08-19,1.1892,3.3084,-0.62
2021-08-18,1.1966,3.3158,1.12
2021-08-17,1.1834,3.3026,-1.98
2021-08-16,1.2073,3.3265,-0.07
2021-08-13,1.2081,3.3273,-0.52
2021-08-12,1.2144,3.3336,-0.78
2021-08-11,1.2240,3.3432,-0.52
2021-08-10,1.2304,3.3496,1.08
2021-08-09,1.2172,3.3364,1.24
2021-08-06,1.2023,3.3215,-0.50
2021-08-05,1.2084,3.3276,-0.58
2021-08-04,1.2154,3.3346,0.85
2021-08-03,1.2051,3.3243,0.02
2021-08-02,1.2049,3.3241,2.41
2021-07-30,1.1765,3.2957,-0.73
2021-07-29,1.1852,3.3044,1.80
2021-07-28,1.1642,3.2834,0.19
2021-07-27,1.1620,3.2812,-3.34
2021-07-26,1.2021,3.3213,-3.06
2021-07-23,1.2401,3.3593,-1.14
2021-07-22,1.2544,3.3736,0.15
2021-07-21,1.2525,3.3717,0.69
2021-07-20,1.2439,3.3631,-0.07
